up
Upload #23
Reader: Backpack reader 2  Site: AA
--------- upload 23 start ---------
E 2015-11-17 15:26:14.63 upload 22 complete
E 2015-11-18 09:01:17.69 supply power ok 19.0V
E 2015-11-18 09:01:17.69 database file opened
E 2015-11-18 09:01:17.69 starting reader after power up
D 2015-11-18 09:33:01.66 00:00:00.20 HA      900_226000082627    3    91
D 2015-11-18 09:33:32.95 00:00:00.00 HA      900_226000121643    1   305
D 2015-11-18 09:33:34.98 00:00:00.11 HA      900_226000121643    2    19
D 2015-11-18 09:33:36.30 00:00:00.20 HA      900_226000121643    3    11
D 2015-11-18 09:33:36.71 00:00:00.00 HA      900_226000121643    1     1
D 2015-11-18 09:33:36.02 00:00:01.31 HA      900_226000121643    4     2
D 2015-11-18 09:33:59.07 00:00:00.10 HA      900_226000121643    2   213
D 2015-11-18 09:34:07.20 00:00:00.31 HA      900_226000121643    4    78
D 2015-11-18 09:34:08.62 00:00:00.00 HA      900_226000121643    1    10
D 2015-11-18 09:34:09.74 00:00:00.32 HA      900_226000121643    4    10
D 2015-11-18 09:34:42.66 00:00:00.00 HA      900_226000531822    1   320
D 2015-11-18 09:34:45.20 00:00:00.10 HA      900_226000531822    2    24
D 2015-11-18 09:34:45.91 23:59:59.11 HA      900_226000531822    2     5
D 2015-11-18 09:34:46.23 00:00:00.00 HA      900_226000531822    1     1
D 2015-11-18 09:34:46.83 23:59:59.42 HA      900_226000531822    5     5
D 2015-11-18 09:34:47.66 00:00:00.00 HA      900_226000531822    1     3
D 2015-11-18 09:35:07.53 00:00:00.62 HA      900_226000084557    7   194
D 2015-11-18 09:35:09.98 00:00:00.10 HA      900_226000084557    2    17
D 2015-11-18 09:35:48.38 00:00:00.00 HA      900_226000531822    1   376
D 2015-11-18 09:35:49.80 00:00:00.52 HA      900_226000531822    6    13
D 2015-11-18 09:35:51.63 00:00:00.73 HA      900_226000531822    8    12
D 2015-11-18 09:36:50.35 00:00:00.31 HA      900_226000095151    4   570
D 2015-11-18 09:36:50.86 00:00:00.72 HA      900_226000095151    8     1
D 2015-11-18 09:36:51.89 23:59:59.21 HA      900_226000095151    3     2
D 2015-11-18 09:36:52.31 00:00:00.00 HA      900_226000095151    1     1
D 2015-11-18 09:37:14.36 00:00:00.10 HA      900_226000569622    2   216
D 2015-11-18 09:37:15.98 00:00:00.31 HA      900_226000569622    4    14
D 2015-11-18 09:37:16.70 00:00:00.10 HA      900_226000569622    2     3
D 2015-11-18 09:37:16.21 00:00:02.02 HA      900_226000569622   11     3
D 2015-11-18 09:37:18.44 00:00:00.00 HA      900_226000569622    1     1
D 2015-11-18 09:37:20.66 00:00:00.10 HA      900_226000569622    2    11
D 2015-11-18 09:37:20.27 00:00:00.21 HA      900_226000569622    3     4
D 2015-11-18 09:37:21.79 00:00:00.10 HA      900_226000569622    2    12
D 2015-11-18 09:37:22.81 00:00:00.11 HA      900_226000569622    2     8
D 2015-11-18 09:37:38.77 00:00:00.00 HA      900_226000569622    1   155
D 2015-11-18 09:38:13.21 00:00:00.00 HA      900_226000097002    1   338
D 2015-11-18 09:38:14.84 00:00:00.10 HA      900_226000097002    2    15
D 2015-11-18 09:38:16.17 00:00:00.10 HA      900_226000097002    2    11
D 2015-11-18 09:38:52.93 00:00:00.32 HA      900_226000531765    4   360
D 2015-11-18 09:38:53.45 00:00:00.00 HA      900_226000531765    1     1
D 2015-11-18 09:38:53.65 00:00:00.11 HA      900_226000531765    2     1
D 2015-11-18 09:38:53.96 23:59:59.52 HA      900_226000531765    6     1
D 2015-11-18 09:39:02.10 00:00:00.20 HA      900_226000531765    3    74
D 2015-11-18 09:39:43.34 00:00:00.00 HA      900_226000569590    1   403
D 2015-11-18 09:40:02.17 00:00:00.00 HA      900_226000569590    1   184
D 2015-11-18 09:40:09.49 00:00:00.10 HA      900_226000540028    2    71
D 2015-11-18 09:40:09.79 00:00:00.00 HA      900_226000540028    1     1
D 2015-11-18 09:40:10.80 00:00:00.00 HA      900_226000540028    1     9
D 2015-11-18 09:40:12.72 00:00:00.11 HA      900_226000540028    2     8
D 2015-11-18 09:40:13.85 23:59:59.20 HA      900_226000540028    3     9
