FID_,ALIVE,READER1,READER2,NOTES,DEAD,READERTIME,DRY,DATE,PIT,GPSTIME,TIME,PITNUM,Easting,Northing
,0,0,1,094844 d,0,0,0,,0,1013,0, ,568743.224284000000000,4100182.432029999800000
,0,0,1,690365 u,0,0,0,,0,1016,0, ,568734.050352000050000,4100180.508390000100000
,0,0,1,689470 d,0,0,0,,0,1017,0, ,568735.904930999970000,4100189.399000000200000
,0,1,0,646498 d many,0,0,0,,0,1020,0, ,568750.517495000040000,4100196.914059999900000
,0,1,0,117477 d dry,0,0,0,,0,1021,0, ,568751.044190000040000,4100205.054260000100000
,0,1,0,538971 d,0,0,0,,0,1022,0, ,568751.930436000000000,4100205.431280000100000
,0,1,0,101573 d,0,0,0,,0,1023,0, ,568747.551818000040000,4100197.074860000100000
,0,0,1,648727 d,0,0,0,,0,1023,0, ,568753.006981999960000,4100200.632439999800000
,0,1,0,688064 d,0,0,0,,0,1024,0, ,568747.782096000040000,4100205.212640000000000
,0,1,0,101537 d,0,0,0,,0,1025,0, ,568757.299017000010000,4100201.406969999900000
,0,1,0,690091 d,0,0,0,,0,1026,0, ,568754.140038999960000,4100207.113400000100000
,0,1,0,087156 d,0,0,0,,0,1028,0, ,568766.713712000060000,4100210.174149999900000
,0,0,1,541493 d,0,0,0,,0,1031,0, ,568784.695901999950000,4100222.524259999900000
,0,0,1,538011 d dry,0,0,0,,0,1036,0, ,568786.515008999970000,4100217.546569999800000
,0,0,1,569223 d,0,0,0,,0,1038,0, ,568796.916674999990000,4100214.302850000100000
,0,1,0,081582 d,0,0,0,,0,1039,0, ,568799.752189000020000,4100211.922129999800000
,0,1,0,540571 d,0,0,0,,0,1041,0, ,568795.913810999950000,4100210.041830000000000
,0,1,0,085569 d dry,0,0,0,,0,1043,0, ,568803.020298999970000,4100211.024180000200000
,0,1,0,086165 d dry,0,0,0,,0,1043,0, ,568804.855963999990000,4100204.012649999900000
,0,1,0,683924 d,0,0,0,,0,1044,0, ,568798.174542000050000,4100205.437549999900000
,0,1,0,569223,0,0,0,,0,1046,0, ,568796.156076999960000,4100216.700460000000000
,0,0,1,081224 d,0,0,0,,0,1047,0, ,568805.762544999950000,4100220.106939999900000
,0,1,0,094579 d,0,0,0,,0,1048,0, ,568809.454214000030000,4100221.801150000200000
,0,0,1,683660 d,0,0,0,,0,1049,0, ,568808.991538999950000,4100224.016259999900000
,0,1,0,648907 d,0,0,0,,0,1049,0, ,568806.635250000050000,4100222.148020000200000
,0,0,1,588443 d,0,0,0,,0,1050,0, ,568810.287801999950000,4100228.649490000200000
,0,1,0,532303 d,0,0,0,,0,1051,0, ,568811.225194999950000,4100222.740090000000000
,0,1,0,101900 d,0,0,0,,0,1052,0, ,568812.246106000040000,4100224.782370000100000
,0,0,1,646000 d,0,0,0,,0,1052,0, ,568813.660481999980000,4100233.114699999800000
,0,1,0,685236 d,0,0,0,,0,1053,0, ,568812.181410999970000,4100232.732849999800000
,0,1,0,646616 d,0,0,0,,0,1054,0, ,568814.418072000030000,4100231.086889999900000
,0,1,1,569240 d,0,0,0,,0,1058,0, ,568806.341892999950000,4100258.202510000200000
,0,0,1,082634 d,0,0,0,,0,1059,0, ,568807.804414000010000,4100260.618210000000000
,0,0,1,113263 d,0,0,0,,0,1100,0, ,568806.895609000000000,4100263.014599999900000
,0,1,1,085291 d,0,0,0,,0,1101,0, ,568804.070636000020000,4100264.101059999800000
