up
upload #31 start: 11/02/2015 15:10:22.26
Site code: tes
--------- upload 31 start ---------
11/02/2015 15:10:22.26 upload 30 complete
11/16/2015 07:44:22.32 supply power ok 18.2V
11/16/2015 07:44:22.32 database file opened
11/16/2015 07:44:22.32 starting reader after power up
11/16/2015 10:05:34.38  00:00:01.74 A 900_226000647847   18    13
11/16/2015 10:05:54.83  00:00:01.22 A 900_226000647847   13   185
11/16/2015 10:06:25.44  00:00:01.11 A 900_226000533216   12   291
11/16/2015 10:06:28.37  00:00:01.01 A 900_226000533216   11    17
11/16/2015 10:06:33.70  00:00:00.82 A 900_226000533216    9    42
11/16/2015 10:06:35.64  00:00:00.50 A 900_226000533216    6    10
11/16/2015 10:06:37.76  00:00:01.01 A 900_226000533216   11    15
11/16/2015 10:06:40.89  00:00:00.61 A 900_226000533216    7    20
11/16/2015 10:06:56.40  00:00:00.62 A 900_226000533216    7   147
11/16/2015 10:07:27.21  00:00:01.62 A 900_226000688531   17   299
11/16/2015 10:07:30.94  00:00:00.92 A 900_226000688531   10    20
11/16/2015 10:07:35.98  00:00:01.83 A 900_226000688531   19    40
11/16/2015 10:09:20.35  00:00:01.52 A 900_226000083872   16  1018
11/16/2015 10:09:23.19  00:00:01.71 A 900_226000083872   18    12
11/16/2015 10:09:27.92  00:00:01.63 A 900_226000083872   17    29
11/16/2015 10:09:38.51  00:00:00.92 A 900_226000083872   10    88
11/16/2015 10:14:24.66  00:00:01.32 A 900_226000646498   14  2834
11/16/2015 10:14:58.68  00:00:01.83 A 900_226000646498   19   324
11/16/2015 10:15:12.90  00:00:02.03 A 900_226000646498   21   122
11/16/2015 10:15:23.79  00:00:00.00 A 900_226000646498    1    87
11/16/2015 10:15:24.71  00:00:01.82 A 900_226000646498   19     8
11/16/2015 10:15:26.93  00:00:01.52 A 900_226000646498   16     3
11/16/2015 10:15:30.97  00:00:01.53 A 900_226000646498   16    24
11/16/2015 10:15:40.56  00:00:01.01 A 900_226000646498   11    79
11/16/2015 10:15:42.48  00:00:00.10 A 900_226000646498    2     8
11/16/2015 10:16:23.94  00:00:01.42 A 900_226000646498   15   410
11/16/2015 10:18:08.28  00:00:02.53 A 900_226000646498   26  1022
11/16/2015 10:19:07.16  00:00:01.52 A 900_226000646498   16   559
11/16/2015 10:19:24.00  00:00:02.33 A 900_226000646498   24   151
11/16/2015 10:20:19.25  00:00:01.72 A 900_226000646498   18   525
11/16/2015 10:20:49.95  00:00:00.82 A 900_226000646498    9   287
11/16/2015 10:21:14.51  00:00:00.11 A 900_226000117477    2   235
11/16/2015 10:21:15.43  00:00:01.72 A 900_226000117477   18     7
11/16/2015 10:21:17.45  00:00:00.40 A 900_226000117477    5     2
11/16/2015 10:21:19.48  00:00:00.70 A 900_226000117477    8    15
11/16/2015 10:21:59.48  00:00:00.92 A 900_226000117477   10   388
11/16/2015 10:22:17.30  00:00:00.10 A 900_226000101573    2   167
11/16/2015 10:22:17.60  00:00:00.92 A 900_226000538971   10     1
11/16/2015 10:22:18.72  00:00:00.00 A 900_226000101573    1     1
11/16/2015 10:22:20.33  00:00:01.73 A 900_226000538971   18    15
11/16/2015 10:22:23.37  00:00:01.01 A 900_226000538971   11    12
11/16/2015 10:22:28.42  00:00:00.51 A 900_226000101573    6    39
11/16/2015 10:22:30.64  00:00:00.00 A 900_226000101573    1    16
11/16/2015 10:22:30.15  00:00:03.13 A 900_226000538971   22     4
11/16/2015 10:22:50.12  00:00:00.50 A 900_226000101573    6   166
11/16/2015 10:23:02.59  00:00:00.81 A 900_226000101573    9   118
11/16/2015 10:23:06.13  00:00:00.00 A 900_226000101573    1    26
11/16/2015 10:23:06.33  00:00:00.50 A 900_226000101573    6     1
11/16/2015 10:23:24.55  00:00:00.41 A 900_226000101573    5   175
11/16/2015 10:23:25.36  00:00:01.83 A 900_226000538971   19     3
11/16/2015 10:23:44.59  00:00:01.44 A 900_226000688064   15   172
11/16/2015 10:23:49.25  00:00:00.21 A 900_226000688064    3    31
11/16/2015 10:23:49.66  00:00:00.70 A 900_226000688064    8     1
11/16/2015 10:24:00.14  00:00:00.60 A 900_226000688064    7    96
11/16/2015 10:24:06.28  00:00:01.32 A 900_226000688064   14    54
11/16/2015 10:24:10.03  00:00:00.60 A 900_226000688064    7    23
11/16/2015 10:24:13.05  00:00:00.71 A 900_226000688064    8    23
11/16/2015 10:24:39.53  00:00:00.40 A 900_226000688064    5   255
11/16/2015 10:24:53.32  00:00:01.32 A 900_226000101537   14   132
11/16/2015 10:24:57.36  00:00:01.31 A 900_226000101537   14    26
11/16/2015 10:25:07.64  00:00:03.04 A 900_226000101537   31    88
11/16/2015 10:25:38.66  00:00:01.10 A 900_226000101537   12   277
11/16/2015 10:26:42.05  00:00:00.10 A 900_226000690091    2   618
11/16/2015 10:26:43.27  00:00:03.24 A 900_226000690091   33    10
11/16/2015 10:28:00.76  00:00:00.10 A 900_226000087156    2   737
11/16/2015 10:28:02.57  00:00:00.73 A 900_226000087156   18     6
11/16/2015 10:28:05.81  00:00:01.44 A 900_226000087156   15    24
11/16/2015 10:28:15.69  00:00:01.64 A 900_226000087156   17    83
11/16/2015 10:39:29.74  00:00:01.42 A 900_226000081582   15  6682
11/16/2015 10:39:32.27  00:00:00.81 A 900_226000081582    9    10
11/16/2015 10:39:33.28  00:00:00.10 A 900_226000081582    2     1
11/16/2015 10:39:39.13  00:00:02.24 A 900_226000081582   23    56
11/16/2015 10:39:45.20  00:00:01.01 A 900_226000081582   11    37
11/16/2015 10:40:34.81  00:00:00.00 A 900_226000081582    1   482
11/16/2015 10:41:07.11  00:00:00.10 A 900_226000540571    2   320
11/16/2015 10:41:07.41  00:00:00.10 A 900_226000540571    2     1
11/16/2015 10:41:09.92  23:59:59.21 A 900_226000540571    3    13
11/16/2015 10:41:09.34  00:00:00.00 A 900_226000540571    1     1
11/16/2015 10:41:09.74  00:00:00.00 A 900_226000540571    1     3
11/16/2015 10:41:09.04  00:00:00.30 A 900_226000540571    4     2
11/16/2015 10:41:09.54  00:00:00.21 A 900_226000540571    3     1
11/16/2015 10:41:14.48  00:00:00.61 A 900_226000540571    7    36
11/16/2015 10:41:15.29  00:00:00.30 A 900_226000540571    4     1
11/16/2015 10:41:15.80  00:00:00.00 A 900_226000540571    1     1
11/16/2015 10:41:15.00  00:00:00.10 A 900_226000540571    2     1
11/16/2015 10:41:16.50  00:00:00.30 A 900_226000540571    4     3
11/16/2015 10:41:16.01  00:00:02.71 A 900_226000540571    8     1
11/16/2015 10:41:20.74  00:00:00.72 A 900_226000540571    8    29
11/16/2015 10:41:31.32  00:00:03.86 A 900_226000540571   39    97
11/16/2015 10:42:21.36  00:00:00.10 A 900_226000085569    2   458
11/16/2015 10:42:22.37  00:00:01.83 A 900_226000085569   19     8
11/16/2015 10:42:28.63  00:00:01.02 A 900_226000085569   11    43
11/16/2015 10:42:48.50  00:00:01.31 A 900_226000085569   14   186
11/16/2015 10:42:58.58  00:00:01.72 A 900_226000085569   18    86
11/16/2015 10:43:35.52  00:00:00.10 A 900_226000086165    2   349
11/16/2015 10:43:36.63  00:00:01.12 A 900_226000086165   12     9
11/16/2015 10:43:44.20  00:00:00.00 A 900_226000086165    1    63
11/16/2015 10:43:44.51  00:00:00.50 A 900_226000086165    6     2
11/16/2015 10:44:24.05  00:00:02.23 A 900_226000683924   23   387
11/16/2015 10:44:26.98  00:00:00.92 A 900_226000683924   10     6
11/16/2015 10:44:35.24  00:00:01.62 A 900_226000683924   17    72
11/16/2015 10:44:43.41  00:00:00.21 A 900_226000683924    3    64
11/16/2015 10:45:06.77  00:00:00.20 A 900_226000085569    3   229
11/16/2015 10:45:53.67  00:00:00.10 A 900_226000569223    2   463
11/16/2015 10:45:55.99  00:00:01.02 A 900_226000569223   11    21
11/16/2015 10:46:42.29  00:00:00.20 A 900_226000569223    3   449
11/16/2015 10:46:43.29  00:00:00.41 A 900_226000569223    5     7
11/16/2015 10:46:45.12  00:00:00.40 A 900_226000569223    5    13
11/16/2015 10:46:46.42  00:00:00.10 A 900_226000569223    2     8
11/16/2015 10:46:46.14  00:00:01.70 A 900_226000569223    8     5
11/16/2015 10:46:50.37  00:00:01.01 A 900_226000569223   11    24
11/16/2015 10:46:55.60  00:00:01.12 A 900_226000569223   12    41
11/16/2015 10:47:11.72  00:00:01.02 A 900_226000569223   11   148
11/16/2015 10:48:17.46  00:00:01.62 A 900_226000094579   17   642
11/16/2015 10:48:19.98  00:00:00.62 A 900_226000094579    7     8
11/16/2015 10:48:22.12  00:00:00.00 A 900_226000094579    1    14
11/16/2015 10:48:23.33  00:00:00.00 A 900_226000094579    1    11
11/16/2015 10:48:23.64  00:00:00.51 A 900_226000094579    6     2
11/16/2015 10:48:25.97  00:00:00.40 A 900_226000094579    5    17
11/16/2015 10:48:27.59  00:00:01.12 A 900_226000094579   12    11
11/16/2015 10:48:32.43  00:00:01.22 A 900_226000094579   13    36
11/16/2015 10:49:06.75  00:00:00.42 A 900_226000648907    5   328
11/16/2015 10:49:08.08  00:00:01.93 A 900_226000648907   20     8
11/16/2015 10:49:24.11  00:00:01.41 A 900_226000648907   15   139
11/16/2015 10:49:29.45  00:00:01.12 A 900_226000648907   12    38
11/16/2015 10:49:37.42  00:00:00.10 A 900_226000648907    2    67
11/16/2015 10:49:48.82  00:00:00.21 A 900_226000648907    3   111
11/16/2015 10:50:18.10  00:00:01.02 A 900_226000094579   11   288
11/16/2015 10:50:19.52  00:00:00.20 A 900_226000094579    3     3
11/16/2015 10:51:19.90  00:00:00.00 A 900_226000532303    1   597
11/16/2015 10:51:20.80  00:00:00.42 A 900_226000532303    5     8
11/16/2015 10:51:22.33  00:00:01.72 A 900_226000532303   18    10
11/16/2015 10:51:25.07  00:00:01.41 A 900_226000532303   15     9
11/16/2015 10:51:32.43  00:00:00.51 A 900_226000532303    6    58
11/16/2015 10:51:48.84  00:00:00.82 A 900_226000532303    9   157
11/16/2015 10:51:49.07  00:00:00.00 A 900_226000532303    1     3
11/16/2015 10:51:56.73  00:00:03.24 A 900_226000101900   33    65
11/16/2015 10:52:02.40  00:00:02.03 A 900_226000101900   21    23
11/16/2015 10:52:08.08  00:00:00.20 A 900_226000101900    3    35
11/16/2015 10:52:30.94  00:00:01.12 A 900_226000101900   12   223
11/16/2015 10:53:21.60  00:00:00.00 A 900_226000685236    1   491
11/16/2015 10:53:22.82  00:00:00.00 A 900_226000685236    1    11
11/16/2015 10:53:24.73  00:00:00.52 A 900_226000685236   16     8
11/16/2015 10:53:27.27  00:00:00.20 A 900_226000685236    3    19
11/16/2015 10:53:27.67  00:00:00.00 A 900_226000685236    1     1
11/16/2015 10:53:27.97  23:59:59.21 A 900_226000685236    3     2
11/16/2015 10:53:31.31  00:00:00.41 A 900_226000685236    5    30
11/16/2015 10:53:43.41  00:00:00.91 A 900_226000685236   10   115
11/16/2015 10:53:46.24  00:00:00.10 A 900_226000685236    2    18
11/16/2015 10:53:46.74  00:00:00.10 A 900_226000685236    2     3
11/16/2015 10:53:52.40  00:00:00.82 A 900_226000685236    9    54
11/16/2015 10:54:18.98  00:00:01.02 A 900_226000646616   11   255
11/16/2015 10:54:22.92  00:00:01.01 A 900_226000646616   11    28
11/16/2015 10:54:27.26  00:00:01.02 A 900_226000646616   11    32
11/16/2015 10:55:13.16  00:00:01.22 A 900_226000646000   13   445
11/16/2015 10:55:15.90  00:00:00.70 A 900_226000646000    8    14
11/16/2015 10:55:20.54  00:00:01.52 A 900_226000646000   16    38
11/16/2015 10:58:06.99  00:00:00.40 A 900_226000569240    5  1638
11/16/2015 10:58:07.59  00:00:00.52 A 900_226000569240    6     1
11/16/2015 10:58:08.51  00:00:00.10 A 900_226000569240    2     3
11/16/2015 10:58:14.25  00:00:01.12 A 900_226000569240   12    55
11/16/2015 11:00:50.55  00:00:00.21 A 900_226000085291    3  1541
11/16/2015 11:00:51.87  00:00:01.32 A 900_226000085291   14    10
11/16/2015 11:00:59.83  00:00:00.91 A 900_226000085291   10    65
11/16/2015 11:01:05.68  00:00:01.43 A 900_226000085291   15    48
11/16/2015 11:01:16.07  00:00:01.00 A 900_226000085291   11    88
11/16/2015 11:01:26.93  00:00:00.31 A 900_226000085291    4    97
11/16/2015 11:04:35.02  00:00:01.41 A 900_226000567560   15  1865
11/16/2015 11:05:09.15  00:00:00.30 A 900_226000567560    4   324
11/16/2015 11:05:09.75  00:00:00.61 A 900_226000568865    7     2
11/16/2015 11:05:10.86  00:00:00.61 A 900_226000568865    7     4
11/16/2015 11:05:12.49  00:00:00.70 A 900_226000568865    8     9
11/16/2015 11:05:13.49  00:00:01.74 A 900_226000567560   18     2
11/16/2015 11:05:15.43  00:00:01.21 A 900_226000567560   13     1
11/16/2015 11:05:16.15  00:00:02.02 A 900_226000568865   11     4
11/16/2015 11:05:18.97  00:00:00.00 A 900_226000567560    1     7
11/16/2015 11:05:19.28  00:00:00.60 A 900_226000568865    7     2
11/16/2015 11:05:19.09  00:00:00.41 A 900_226000568865    5     1
11/16/2015 11:05:24.23  00:00:00.71 A 900_226000568865    8    36
11/16/2015 11:05:38.88  00:00:00.71 A 900_226000568865    8   137
11/16/2015 11:05:48.56  00:00:01.42 A 900_226000568865   15    88
11/16/2015 11:05:51.79  00:00:00.52 A 900_226000568865    6    17
11/16/2015 11:06:36.40  00:00:01.01 A 900_226000541299   11   437
11/16/2015 11:06:38.42  00:00:00.62 A 900_226000541299    7     9
11/16/2015 11:06:40.44  00:00:01.22 A 900_226000541299   13    13
11/16/2015 11:06:43.28  00:00:00.20 A 900_226000541299    3    15
11/16/2015 11:06:43.78  00:00:00.82 A 900_226000541299    9     2
11/16/2015 11:06:44.21  00:00:02.11 A 900_226000541299   12     5
11/16/2015 11:06:50.25  00:00:00.81 A 900_226000541299    9    38
11/16/2015 11:07:12.80  00:00:00.31 A 900_226000541299    4   215
11/16/2015 11:07:51.96  00:00:00.40 A 900_226000568587    5   385
11/16/2015 11:07:53.07  00:00:01.62 A 900_226000568587   17     6
11/16/2015 11:07:56.21  00:00:00.31 A 900_226000568587    4    14
11/16/2015 11:07:58.43  00:00:01.22 A 900_226000568587   13    18
11/16/2015 11:07:59.95  23:59:59.21 A 900_226000568587    3     2
11/16/2015 11:08:04.70  00:00:01.12 A 900_226000568587   12    44
11/16/2015 11:08:17.01  00:00:00.10 A 900_226000568587    2   110
11/16/2015 11:08:17.61  00:00:00.41 A 900_226000568587    5     4
11/16/2015 11:08:19.54  00:00:01.52 A 900_226000568587   16    14
11/16/2015 11:09:50.81  00:00:01.12 A 900_226000537644   12   891
11/16/2015 11:09:52.65  00:00:00.00 A 900_226000537644    1     6
11/16/2015 11:09:52.95  00:00:01.22 A 900_226000537644   13     2
11/16/2015 11:09:54.47  00:00:00.10 A 900_226000537644    2     2
11/16/2015 11:10:09.76  00:00:00.00 A 900_226000537644    1   150
11/16/2015 11:10:09.96  00:00:01.13 A 900_226000537644   12     1
11/16/2015 11:10:11.39  00:00:00.21 A 900_226000537644    3     2
11/16/2015 11:10:14.22  00:00:00.10 A 900_226000537644    2    25
11/16/2015 11:10:14.52  00:00:00.30 A 900_226000537644    4     1
11/16/2015 11:12:20.13  00:00:01.52 A 900_226000587480   16  1244
11/16/2015 11:12:44.30  00:00:01.52 A 900_226000568847   16   224
11/16/2015 11:12:50.35  00:00:02.13 A 900_226000568847   22    44
11/16/2015 11:12:58.73  00:00:00.91 A 900_226000568847   10    61
11/16/2015 11:13:01.86  00:00:00.10 A 900_226000568847    2    21
11/16/2015 11:15:48.92  00:00:00.00 A 900_226000533552    1  1658
11/16/2015 11:15:49.13  00:00:00.20 A 900_226000533552    3     1
11/16/2015 11:15:49.13  00:00:02.02 A 900_226000533552   11     7
11/16/2015 11:15:51.75  00:00:00.00 A 900_226000533552    1     5
11/16/2015 11:15:54.37  00:00:00.72 A 900_226000533552    8    25
11/16/2015 11:15:55.39  00:00:00.10 A 900_226000533552    2     2
11/16/2015 11:16:25.68  00:00:00.00 A 900_226000533552    1   299
